rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
7,7,0,NEW,20168161,1급기밀,2018-01-24,181680800,6.2,181680800,100,254414300,24259,24259,100,33298,440,1531
8,8,7,OLD,20177473,비밥바룰라,2018-01-24,64972100,2.2,54886100,544.2,81858100,8922,7683,620.1,10898,347,647
9,9,-2,OLD,20179462,위대한 쇼맨,2017-12-20,32218600,1.1,-13099300,-28.9,10622190200,4131,-1748,-29.7,1296308,106,165
10,10,-1,OLD,20176947,원더,2017-12-27,16029900,0.5,-3384200,-17.4,1655725145,2394,-606,-20.2,212657,57,113
1,1,0,OLD,20176104,그것만이 내 세상,2018-01-17,756427000,25.8,44864100,6.3,10506076290,98162,5490,5.9,1305082,791,3115
2,2,1,OLD,20179985,코코,2018-01-11,478703400,16.4,23451200,5.2,16360113733,65984,3389,5.4,2072884,751,2139
3,3,-1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,483345600,16.5,-61951600,-11.4,13133930063,61865,-8195,-11.7,1592504,728,2761
4,4,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,274296900,9.4,-15530000,-5.4,110104938037,36900,-2338,-6,13718015,553,1473
5,5,0,OLD,20170590,1987,2017-12-27,249946400,8.5,-22241900,-8.2,55027396145,33264,-2593,-7.2,6839128,562,1706
6,6,0,OLD,20178230,커뮤터,2018-01-24,248825700,8.5,-16341100,-6.2,547722600,32942,-2064,-5.9,72618,543,2389
7,7,0,OLD,20168161,1급기밀,2018-01-24,164758500,5.6,-16922300,-9.3,419172800,21911,-2348,-9.7,55209,461,1465
8,8,0,OLD,20177473,비밥바룰라,2018-01-24,38644300,1.3,-26327800,-40.5,120502400,6087,-2835,-31.8,16985,347,648
9,9,18,OLD,20178444,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,25749500,0.9,23896500,1289.6,38636500,3801,3594,1736.2,5301,273,319
10,10,-1,OLD,20179462,위대한 쇼맨,2017-12-20,29050600,1.0,-3168000,-9.8,10651240800,3722,-409,-9.9,1300030,104,141
1,1,0,OLD,20176104,그것만이 내 세상,2018-01-17,992149124,27.3,235722124,31.2,11498225414,117046,18884,19.2,1422128,839,3349
